fold	best_epoch	n_val_epochs	n_val_subjs	ep_acc	ep_auc	ep_bal_acc	subj_acc	subj_auc	subj_bal_acc
1	59	4413	10	0.8799002945841831	0.9252339775774743	0.8271369201779764	0.9	1.0	0.9
2	45	4300	10	0.7502325581395349	0.8046139233619918	0.7314632333410294	0.7	0.8	0.7
3	28	4559	10	0.577977626672516	0.7852474137801799	0.6720368591990589	0.7	1.0	0.7
4	5	4342	10	0.48733302625518193	0.5765162848683185	0.5606194483403459	0.5	0.56	0.5
5	16	4438	10	0.5838215412347905	0.6368570931849791	0.5947679647658786	0.7	0.68	0.7
