fold	best_epoch	n_val_epochs	n_val_subjs	ep_acc	subj_acc	ep_auc	subj_auc	ep_bal_acc	subj_bal_acc	ep_f1	subj_f1	ep_prec	subj_prec	ep_rec	subj_rec
1	134	2342	8	0.8351836037574722	1.0	0.9043567551708962	1.0	0.8354808034055919	1.0	0.8371308016877637	1.0	0.8500428449014568	1.0	0.8246051537822111	1.0
2	8	2398	9	0.6630525437864887	0.6666666666666666	0.6777383979159204	0.65	0.6633780037772206	0.675	0.6408888888888888	0.6666666666666666	0.6899521531100479	0.6	0.5983402489626556	0.75
3	36	2316	8	0.7918825561312608	0.875	0.9099225171280878	0.9375	0.7970442134535383	0.875	0.777264325323475	0.8571428571428571	0.8861959957850368	1.0	0.6921810699588478	0.75
4	131	2252	8	0.8361456483126111	0.875	0.9489762276592053	1.0	0.8366152414304417	0.875	0.8118306986231515	0.8571428571428571	0.9578820697954272	1.0	0.7044247787610619	0.75
5	42	2348	8	0.7721465076660988	0.75	0.8670464709708896	0.9375	0.7712897567548731	0.75	0.7836635665183987	0.75	0.7635933806146572	0.75	0.8048172757475083	0.75
