fold	best_epoch	n_val_epochs	n_val_subjs	ep_acc	ep_auc	ep_bal_acc	subj_acc	subj_auc	subj_bal_acc
1	134	2342	8	0.8351836037574722	0.9043567551708962	0.8354808034055919	1.0	1.0	1.0
2	8	2398	9	0.6630525437864887	0.6777383979159204	0.6633780037772206	0.6666666666666666	0.65	0.675
3	36	2316	8	0.7918825561312608	0.9099225171280878	0.7970442134535383	0.875	0.9375	0.875
4	131	2252	8	0.8361456483126111	0.9489762276592053	0.8366152414304417	0.875	1.0	0.875
5	42	2348	8	0.7721465076660988	0.8670464709708896	0.7712897567548731	0.75	0.9375	0.75
