fold	best_epoch	n_val_epochs	n_val_subjs	ep_acc	ep_auc	ep_bal_acc	subj_acc	subj_auc	subj_bal_acc
1	1	3127	10	0.545890629996802	0.5897703403858727	0.5453182316201529	0.5	0.6000000000000001	0.5
2	17	3102	10	0.783043197936815	0.8517319262390016	0.7837027052991026	0.9	0.9600000000000001	0.9
3	5	3044	10	0.7628120893561103	0.849380805555952	0.7554410028178418	0.8	0.8400000000000001	0.8
4	1	3080	10	0.4701298701298701	0.4532895982897438	0.47311885107770524	0.4	0.4	0.4
5	2	3113	10	0.6228718278188243	0.6702482999712671	0.6247205149460515	0.8	0.76	0.8
