fold	best_epoch	n_val_epochs	n_val_subjs	ep_acc	ep_auc	ep_bal_acc	subj_acc	subj_auc	subj_bal_acc
1	47	2224	8	0.9006294964028777	0.9657434190091628	0.901314256872185	1.0	1.0	1.0
2	37	2056	7	0.6867704280155642	0.6774498648219986	0.6612459657587866	0.7142857142857143	0.75	0.6666666666666666
3	1	2221	8	0.5213867627194957	0.5278844427029763	0.5174850206527241	0.5	0.8125	0.5
4	87	1950	7	0.9569230769230769	0.984261515238658	0.9561816820090822	1.0	1.0	1.0
5	19	2013	7	0.5976154992548435	0.684000571153194	0.5888366323379799	0.5714285714285714	0.6666666666666666	0.5416666666666666
