fold,n_train_samples,n_val_samples,n_train_subjects,n_val_subjects,n_features_input,n_features_selected,train_accuracy,val_accuracy,train_f1,val_f1,train_precision,val_precision,train_recall,val_recall,train_roc_auc,val_roc_auc,val_specificity,val_fnr
1,1052,247,38,9,2784,60,0.8507604562737643,0.5546558704453441,0.8483091787439614,0.32926829268292684,0.9032921810699589,0.5869565217391305,0.7996357012750456,0.2288135593220339,0.9354999330066956,0.5023978452240179,0.8527131782945736,0.7711864406779662
2,1052,247,38,9,2784,60,0.870722433460076,0.6072874493927125,0.8785714285714286,0.6498194945848376,0.861646234676007,0.5660377358490566,0.8961748633879781,0.7627118644067796,0.9468163695423091,0.7441531993167784,0.46511627906976744,0.23728813559322035
3,1042,257,38,9,2784,60,0.8589251439539347,0.6498054474708171,0.8522613065326633,0.6456692913385826,0.8964059196617337,0.7522935779816514,0.8122605363984674,0.5655172413793104,0.9421548040082522,0.6597290640394089,0.7589285714285714,0.43448275862068964
4,1021,278,37,10,2784,60,0.8961802154750245,0.7517985611510791,0.8952569169960475,0.7722772277227723,0.9301848049281314,0.7267080745341615,0.8628571428571429,0.823943661971831,0.966278801843318,0.8419376553438276,0.6764705882352942,0.176056338028169
5,1029,270,37,10,2784,60,0.8756073858114675,0.737037037037037,0.8817005545286506,0.7953890489913544,0.853309481216458,0.6798029556650246,0.9120458891013384,0.9583333333333334,0.9570809936592628,0.8511078042328043,0.48412698412698413,0.041666666666666664
