fold,n_train_samples,n_val_samples,n_train_subjects,n_val_subjects,n_features_input,n_features_selected,train_accuracy,val_accuracy,train_f1,val_f1,train_precision,val_precision,train_recall,val_recall,train_roc_auc,val_roc_auc,val_specificity,val_fnr
1,1052,247,38,9,2784,120,1.0,0.5465587044534413,1.0,0.3333333333333333,1.0,0.56,1.0,0.23728813559322035,1.0,0.5740047299960583,0.8294573643410853,0.7627118644067796
2,1052,247,38,9,2784,120,1.0,0.6963562753036437,1.0,0.7272727272727273,1.0,0.6369426751592356,1.0,0.847457627118644,1.0,0.8013401655498622,0.5581395348837209,0.15254237288135594
3,1042,257,38,9,2784,120,1.0,0.5525291828793775,1.0,0.5818181818181818,1.0,0.6153846153846154,1.0,0.5517241379310345,1.0,0.5528940886699507,0.5535714285714286,0.4482758620689655
4,1021,278,37,10,2784,120,1.0,0.7266187050359713,1.0,0.7164179104477612,1.0,0.7619047619047619,1.0,0.676056338028169,1.0,0.7964736951118474,0.7794117647058824,0.323943661971831
5,1029,270,37,10,2784,120,1.0,0.7481481481481481,1.0,0.8057142857142857,1.0,0.6844660194174758,1.0,0.9791666666666666,1.0,0.8228615520282186,0.48412698412698413,0.020833333333333332
