n_features,k,weights,metric,mean_accuracy,std_accuracy,mean_sensitivity,std_sensitivity,mean_specificity,mean_precision,mean_f1,mean_auc,std_auc,rank_score,rank
80,9,uniform,manhattan,0.6767673140115484,0.05691936974414474,0.6776533870408633,0.25027406887129117,0.6752725121056175,0.6879908746224536,0.6553364812467467,0.7322951452392907,0.12430032645046532,0.9510048937514264,1
80,9,distance,manhattan,0.6759575974123583,0.05842912717752841,0.6759584717866259,0.2530344928181441,0.6752725121056175,0.6864825789965109,0.6534151446647767,0.7323034425725009,0.12765507504448315,0.9490570697081749,2
80,11,uniform,manhattan,0.6718306480647123,0.06400209472455783,0.6700143323738784,0.261668820232161,0.6731988144094847,0.6803921401267916,0.6458371473341746,0.736446216801715,0.12305268063539616,0.9438137116762467,3
80,11,distance,manhattan,0.6710209314655219,0.06558780555351004,0.668319417119641,0.26453290584239403,0.6731988144094847,0.6785304379991322,0.6438072094006222,0.7365774527424367,0.12668828679055028,0.9418963881922586,4
60,9,uniform,manhattan,0.660116873099398,0.07528816657705464,0.6678639320826577,0.25336517532231373,0.6474711202310381,0.6623597731538049,0.6384846710640947,0.7198651136313674,0.12932487593018396,0.9344451952804732,5
60,9,distance,manhattan,0.6577507362667446,0.0766875786512718,0.6678639320826577,0.25336517532231373,0.6423493040627104,0.6571511179786729,0.6370766997143382,0.7178964474094424,0.13214374733443388,0.9331189438141537,6
80,13,distance,manhattan,0.6711662969020384,0.06595208078002374,0.6578630563169915,0.26483485390585315,0.6836894447701561,0.6859120590821117,0.6393602214297485,0.7338157354514794,0.12717577901710345,0.9330316582106724,7
60,11,uniform,manhattan,0.6703212252947424,0.07522671953549881,0.6613320167122614,0.25439079243535473,0.6743331053351573,0.6744348154878557,0.6417255391799099,0.7221458891878485,0.13221181987729994,0.9326226985746868,8
60,11,distance,manhattan,0.6703212252947424,0.07522671953549881,0.6613320167122614,0.25439079243535473,0.6743331053351573,0.6744348154878557,0.6417255391799099,0.7202215660270481,0.13459123659977587,0.9318389426423124,9
80,13,uniform,manhattan,0.6703565803028481,0.06601061205426778,0.6561681410627542,0.26358598209441203,0.6836894447701561,0.6854374333062812,0.6384494564867335,0.7315703009485353,0.12475278027302165,0.9309228562767203,10
60,15,distance,manhattan,0.6649563917080495,0.07576145517601357,0.656553297314898,0.2552120371674417,0.6685712657155886,0.6682817380634984,0.6362505456353562,0.7293744601098846,0.13387657637475756,0.9306967647060812,11
60,15,uniform,manhattan,0.6634587571308864,0.07471947040893026,0.653765536265845,0.25480596534653566,0.6685712657155886,0.6675619739566376,0.6343557781405886,0.7338533445653592,0.13221087636915643,0.930208769696948,12
60,13,distance,manhattan,0.6666440010559751,0.07308489232223865,0.6543284820945937,0.253883282491221,0.6744148046815626,0.672047560188565,0.6372027926501358,0.7263841300615127,0.13337140718058063,0.9284621870662878,13
60,13,uniform,manhattan,0.665956083078002,0.07086747219854894,0.6515407210455407,0.253682108078423,0.6759651922784619,0.6738174184776128,0.6356465664635367,0.7294065410192287,0.13101106614509678,0.9275217693509928,14
80,15,distance,manhattan,0.668668171246018,0.06606630025314117,0.6483443364257238,0.26405260555851956,0.6889648882808938,0.6900606230477999,0.6337075193938275,0.7360498205256467,0.12697330246559757,0.9265122780870145,15
40,11,uniform,manhattan,0.6456593783139706,0.0783094836713553,0.6543980357239221,0.22964047481281297,0.6329460078605085,0.6466540239480607,0.630868182884577,0.7157471609253167,0.11591104280137213,0.924107079615379,16
80,15,uniform,manhattan,0.6677681625080691,0.06723357112144034,0.6449545059172491,0.26179138870414065,0.6904354765161879,0.6900930235477963,0.6323590389382663,0.7347718290459403,0.12447977261248976,0.9237180434458098,17
40,11,distance,manhattan,0.6448496617147803,0.07942668026179861,0.6543980357239221,0.22964047481281297,0.6313956202636093,0.6447743246999404,0.6304740942146264,0.7142264034459626,0.11647852499902633,0.9233082244703498,18
40,15,uniform,manhattan,0.6474227261227823,0.0738400573725712,0.6512846864941843,0.23703457534046576,0.6395093696393286,0.6597930160956917,0.6286337341601056,0.7183510427572128,0.11445035714154428,0.921865306290275,19
40,15,distance,manhattan,0.645062552183661,0.07589391164761858,0.6498957976052953,0.23573645142364516,0.6364085944455302,0.6545519845507436,0.6270863680144744,0.7167011416177737,0.11688124162170042,0.9198905095439287,20
40,9,uniform,manhattan,0.6368728435180094,0.07193919104640781,0.6502505261453779,0.2296900401173651,0.6204264651597072,0.6422522084743356,0.6239501117502113,0.7139827845447808,0.11372443956606595,0.918371446297157,21
40,9,distance,manhattan,0.6345382131678149,0.07154365922243368,0.6502505261453779,0.2296900401173651,0.6150693223025645,0.6377085191539473,0.6224096245876044,0.7116730571903597,0.11519613380869445,0.916913267491177,22
40,13,uniform,manhattan,0.6396108540579226,0.07665332271532342,0.6454422616614028,0.23996376997548513,0.6298161900419083,0.6456434605256363,0.6209373107948106,0.7218429137624311,0.11104366816767115,0.9166922696474219,23
40,13,distance,manhattan,0.6395205619191641,0.07897144492346334,0.6468507123656282,0.24114907978660075,0.6282658024450091,0.6437499378991944,0.6213479426442565,0.7195636032010277,0.11437917410560926,0.9165593475931739,24
