fold,n_train_samples,n_val_samples,n_train_subjects,n_val_subjects,n_features_input,n_features_selected,train_accuracy,val_accuracy,train_f1,val_f1,train_precision,val_precision,train_recall,val_recall,train_roc_auc,val_roc_auc,val_specificity,val_fnr
1,1052,247,38,9,2784,80,0.8678707224334601,0.5708502024291497,0.866474543707973,0.3764705882352941,0.9166666666666666,0.6153846153846154,0.8214936247723132,0.2711864406779661,0.9405859922432618,0.5122191564840363,0.8449612403100775,0.7288135593220338
2,1052,247,38,9,2784,80,0.8973384030418251,0.7125506072874493,0.9037433155080213,0.754325259515571,0.8848167539267016,0.6374269005847953,0.9234972677595629,0.923728813559322,0.9647017711581152,0.81641702798581,0.5193798449612403,0.07627118644067797
3,1042,257,38,9,2784,80,0.8646833013435701,0.669260700389105,0.8559754851889684,0.6530612244897959,0.9168490153172867,0.8,0.8026819923371648,0.5517241379310345,0.9544300766283526,0.6774322660098522,0.8214285714285714,0.4482758620689655
4,1021,278,37,10,2784,80,0.9245837414299706,0.697841726618705,0.9260326609029779,0.7021276595744681,0.9341085271317829,0.7071428571428572,0.9180952380952381,0.6971830985915493,0.9793644393241168,0.8114643744821872,0.6985294117647058,0.3028169014084507
5,1029,270,37,10,2784,80,0.8931000971817298,0.7333333333333333,0.8968105065666041,0.7906976744186046,0.8802946593001841,0.68,0.9139579349904398,0.9444444444444444,0.9644004262426409,0.8439429012345679,0.49206349206349204,0.05555555555555555
